round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
18,S,146,119,0,30,53,5.00,4.45,10.1832,34.12,0.0,112.6,1683,1390,A,-2,3,PA,Draw,2
18,S,38,65,0,20,47,4.00,3.31,11.9246,43.65,0.0,129.4,1703,1390,A,-2,2,PA,Draw,2
18,S,76,92,3,40,25,3.60,4.75,-3.8457,31.31,72.0,5.4,1638,1638,A,3,0,PA,Draw,2
18,S,136,31,3,46,41,4.67,3.36,19.7764,53.56,31.2,45.6,2058,1452,A,-1,2,PA,Draw,2
18,S,124,152,0,28,47,4.75,4.30,7.1456,34.63,0.0,104.5,1620,1448,A,0,2,PA,Draw,2
18,S,34,156,0,37,73,3.89,5.18,-10.2963,55.84,16.3,103.3,1584,1889,A,0,5,PA,Draw,2
18,S,151,74,3,82,20,5.60,3.00,22.4921,54.96,147.4,10.8,2067,1533,A,6,0,PA,Draw,2
18,S,1,26,0,18,33,2.67,4.33,-5.2565,40.24,18.9,73.4,1663,1764,A,0,1,PA,Draw,2
18,S,157,98,3,39,22,3.18,4.67,-9.3951,61.49,112.8,0.0,1622,1805,A,1,-2,PA,Draw,2
18,S,145,114,0,23,46,3.80,4.67,2.2874,35.98,0.0,105.9,1666,1596,A,0,2,PA,Draw,2
18,S,109,23,3,31,17,3.38,4.67,-1.3733,38.77,83.7,6.3,1702,1732,A,0,0,PA,Draw,2
18,S,24,64,0,27,44,3.13,4.63,-2.9655,46.28,7.6,81.5,1689,1752,A,0,1,PA,Draw,2
18,S,150,51,3,49,21,4.44,4.75,4.7042,39.35,113.2,3.5,1788,1511,A,2,0,PA,Draw,2
18,S,46,86,3,50,28,4.86,2.89,15.9825,53.80,101.8,13.2,1867,1559,A,4,0,PA,Draw,2
18,S,25,14,0,9,54,3.00,3.75,-0.5530,45.76,0.0,336.8,1731,1778,A,0,3,PA,Draw,2
18,S,15,75,0,16,35,4.67,3.88,1.9617,42.84,6.6,103.7,1691,1697,A,0,1,PA,Draw,2
18,S,13,48,3,48,29,4.71,3.86,11.4510,53.36,76.4,23.6,1963,1567,A,1,0,PA,Draw,2
18,S,22,50,0,8,43,2.00,4.88,0.2639,53.47,0.0,158.3,1719,1651,A,0,2,PA,Draw,2
18,S,153,27,3,51,27,4.27,4.80,-0.7687,49.22,111.3,14.5,1773,1648,A,3,0,PA,Draw,2
18,S,19,16,3,43,40,3.70,4.00,2.3634,45.69,49.8,47.2,1743,1685,A,4,2,PA,Draw,2
18,S,20,101,0,28,35,3.60,3.10,7.7700,61.01,0.0,90.7,1818,1653,A,0,0,PA,Draw,2
18,S,127,135,3,35,31,3.86,4.14,6.2067,60.06,29.6,36.4,1889,1664,A,0,0,PA,Draw,2
18,S,52,96,3,26,21,4.00,2.71,10.7547,62.78,59.9,23.5,1900,1673,A,0,0,PA,Draw,2
18,S,107,39,3,42,25,4.00,3.29,9.6242,68.16,75.2,22.3,1886,1686,A,1,0,PA,Draw,2
18,S,87,108,3,68,18,4.42,4.50,9.3003,60.56,169.6,11.8,1887,1644,A,6,0,PA,Draw,2
18,S,155,9,3,38,20,4.33,3.60,10.0761,69.21,73.2,13.1,1885,1693,A,0,0,PA,Draw,2
18,S,6,94,3,81,18,4.12,4.00,4.8315,61.98,231.5,0.0,1868,1666,A,9,0,PA,Draw,2
18,S,78,117,0,41,43,4.38,3.25,2.4296,65.15,38.3,62.4,1739,1751,A,2,1,PA,Draw,2
18,S,59,148,0,22,52,3.33,4.44,-5.5173,76.19,18.5,115.8,1738,1891,A,1,3,PA,Draw,2
18,S,99,67,0,22,29,3.40,3.13,3.0860,67.17,13.9,55.4,1742,1699,A,0,2,PA,Draw,2
18,S,18,80,0,24,41,3.14,4.25,-2.9767,79.47,15.7,81.1,1770,1907,A,0,1,PA,Draw,2
18,S,110,5,3,26,21,4.00,3.80,3.8617,78.91,48.8,14.2,1912,1786,A,0,0,PA,Draw,2
