round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
32,R,128,121,3,80,12,5.00,3.00,6.6650,8.66,168.3,0.0,1467,1291,A,6,0,,,
32,R,85,82,0,23,94,4.20,5.50,-9.0935,18.94,8.2,164.3,1129,1534,A,0,7,,,
32,R,119,113,0,13,44,3.25,6.00,-15.5463,48.55,8.3,111.3,1301,2325,A,0,2,,,
32,R,103,97,0,29,58,3.38,5.00,-7.4708,27.81,21.0,49.2,1563,1796,A,0,4,,,
32,R,32,25,0,20,35,3.60,4.57,-0.6165,18.81,0.0,103.9,1452,1662,A,0,1,,,
32,R,143,139,3,68,46,5.67,3.82,10.5465,33.87,96.9,20.3,1578,1362,A,4,1,,,
32,R,42,33,0,25,67,2.88,5.38,-17.8342,54.00,9.6,103.0,1381,2471,A,0,4,,,
32,R,133,129,0,35,40,4.13,6.00,-11.6821,51.43,36.2,36.7,1465,2145,A,0,1,,,
32,R,62,59,3,25,20,3.29,3.75,-3.4571,32.78,43.0,15.9,1303,1656,A,2,0,,,
32,R,40,34,3,59,22,6.83,3.33,21.1608,53.44,111.4,12.9,2321,1499,A,3,0,,,
32,R,125,122,3,68,43,5.11,3.00,16.0621,52.08,67.8,22.3,2199,1488,A,3,1,,,
32,R,12,1,3,77,28,5.36,3.71,13.9024,50.75,109.1,15.3,2063,1557,A,5,0,,,
32,R,152,148,3,36,30,2.91,4.50,-15.1223,71.15,100.8,0.0,1421,2016,A,1,-2,,,
32,R,10,11,0,42,47,4.57,4.30,6.4878,33.03,12.1,65.2,1586,1523,A,1,1,,,
32,R,71,65,0,22,30,4.25,4.00,3.2968,23.61,10.8,66.0,1345,1418,A,0,0,,,
32,R,109,105,0,43,55,3.90,3.83,-3.4347,35.59,31.9,85.4,1627,1862,A,2,2,,,
32,R,37,36,0,40,41,5.60,3.36,14.1956,65.75,10.7,81.3,1936,1354,A,-1,3,,,
32,R,4,9,0,12,41,3.00,4.38,-1.7486,38.80,0.0,129.6,1566,1706,A,0,2,,,
32,R,24,19,0,29,52,3.86,5.22,-1.1920,33.39,0.0,109.1,1579,1778,A,1,4,,,
