round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
59,R,121,113,0,28,42,3.25,5.60,-11.7935,45.77,21.0,51.6,1224,2174,A,0,1,,,
59,R,96,85,3,57,26,5.29,3.00,19.1995,22.02,91.9,10.1,1630,1077,A,2,0,,,
59,R,128,119,0,23,40,5.00,4.50,7.0526,17.20,0.0,93.2,1447,1256,A,-2,1,,,
59,R,32,21,3,27,22,2.78,4.67,-9.6848,43.88,90.8,0.0,1420,1884,A,0,-2,,,
59,R,109,103,3,43,33,5.17,3.44,8.4387,20.03,29.1,25.1,1721,1489,A,3,0,,,
59,R,142,133,0,22,49,4.67,3.58,8.3534,42.81,0.0,126.1,1881,1469,A,-2,2,,,
59,R,139,132,0,40,54,3.27,6.33,-10.4561,55.54,26.4,46.5,1367,2279,A,1,4,,,
59,R,48,34,3,44,41,4.71,3.70,7.1382,15.79,31.4,28.2,1483,1470,A,1,1,,,
59,R,122,114,0,26,32,4.00,5.40,-2.9299,27.42,11.8,49.9,1449,1628,A,0,0,,,
59,R,79,71,3,42,36,4.33,3.78,13.5792,37.84,38.2,36.4,1957,1300,A,1,0,,,
59,R,31,23,0,16,75,3.50,5.25,-4.1404,21.62,0.0,179.0,1413,1660,A,0,5,,,
59,R,4,5,3,43,23,3.25,4.00,-5.0753,41.74,102.0,0.0,1548,1724,A,4,0,,,
59,R,112,104,3,23,13,4.20,4.50,-6.8752,52.15,81.0,0.0,1428,1993,A,2,-2,,,
59,R,62,55,0,22,72,3.33,5.30,-9.0665,60.77,10.2,127.6,1319,2223,A,0,5,,,
59,R,154,145,0,24,38,3.67,4.13,-1.1321,28.35,0.0,90.6,1408,1610,A,0,0,,,
59,R,1,15,0,16,28,2.80,3.83,-3.3744,32.49,14.7,81.5,1582,1739,A,0,0,,,
59,R,47,42,3,72,19,4.38,4.25,7.4513,30.01,145.8,10.3,1716,1471,A,5,0,,,
59,R,11,8,0,9,43,3.00,5.00,-9.1242,58.05,5.7,134.0,1533,2081,A,0,2,,,
59,R,159,152,3,66,40,3.92,4.22,10.9774,45.13,64.6,32.0,1894,1463,A,3,2,,,
59,R,94,86,3,45,11,4.83,2.75,12.7421,48.12,113.5,2.8,1764,1484,A,2,0,,,
59,R,124,115,3,40,20,3.60,5.00,-4.5755,42.80,110.1,7.5,1606,1763,A,2,0,,,
59,R,29,24,3,38,23,5.20,3.00,9.5262,42.53,59.5,19.2,1951,1603,A,0,0,,,
