round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
41,L,121,22,0,27,68,3.57,5.30,-4.6822,18.20,12.4,112.5,1273,1627,A,1,4,,,
41,L,85,54,0,10,31,5.00,4.75,-7.6412,25.23,7.6,74.1,1111,1543,A,0,0,,,
41,L,119,108,0,24,37,2.75,5.00,-10.3282,31.15,12.6,38.6,1300,1720,A,0,2,,,
41,L,32,13,0,8,39,2.67,4.14,-6.4475,36.58,0.0,143.3,1440,1912,A,0,1,,,
41,L,139,9,0,28,39,3.25,4.83,-5.6214,31.75,18.3,62.2,1341,1675,A,0,0,,,
41,L,106,103,3,33,21,5.75,3.17,16.1392,39.41,57.1,17.3,1934,1578,A,0,0,,,
41,L,63,42,3,56,31,4.75,3.22,13.9494,37.03,81.9,13.6,1726,1363,A,2,0,,,
41,L,67,133,3,67,35,6.00,3.88,11.3196,37.93,94.8,18.6,1757,1451,A,3,0,,,
41,L,76,122,3,61,49,6.13,5.00,7.6922,23.42,66.6,28.9,1660,1451,A,3,1,,,
41,L,128,41,0,16,59,3.20,4.44,-12.7502,54.48,10.6,114.9,1480,2004,A,0,3,,,
41,L,34,46,0,32,72,3.33,5.50,-11.4576,46.80,18.3,111.7,1492,1882,A,0,6,,,
41,L,36,62,3,48,46,4.88,4.20,4.9542,24.41,32.3,37.0,1380,1315,A,-1,1,,,
41,L,152,51,0,21,28,3.80,4.33,-0.4090,28.52,0.0,80.7,1399,1539,A,0,0,,,
41,L,1,82,0,16,39,2.80,4.25,-1.3732,30.42,0.0,104.0,1560,1578,A,0,1,,,
41,L,90,71,3,61,29,5.63,3.38,12.3874,49.81,107.6,17.1,1690,1359,A,4,0,,,
41,L,11,75,3,44,28,3.33,4.20,-4.9657,48.84,84.0,7.2,1566,1746,A,3,0,,,
41,L,102,112,3,56,46,6.14,3.82,9.4141,35.82,55.2,30.6,1512,1407,A,2,1,,,
41,L,143,2,3,62,48,4.89,3.14,11.8210,40.32,59.6,37.3,1593,1385,A,4,2,,,
41,L,93,4,0,28,34,4.20,3.56,4.6380,44.35,0.3,73.0,1766,1598,A,0,0,,,
41,L,109,117,0,18,30,3.20,4.60,-4.9068,46.09,7.7,73.6,1628,1848,A,0,0,,,
41,L,24,95,3,41,29,3.36,4.75,-8.4286,64.66,100.8,0.0,1632,1908,A,2,0,,,
41,L,31,48,3,31,26,4.00,4.00,0.9101,27.60,53.0,13.1,1531,1499,A,0,0,,,
41,L,87,25,3,45,22,4.13,3.33,7.5688,53.25,98.2,11.3,1909,1630,A,1,0,,,
41,L,47,23,3,41,39,5.00,5.00,3.7090,32.11,38.9,37.1,1646,1626,A,1,0,,,
41,L,77,145,3,62,25,4.67,5.25,-1.5652,38.35,125.1,0.0,1573,1663,A,4,0,,,
41,L,154,17,0,19,43,3.20,4.11,0.9541,36.23,0.0,104.7,1448,1550,A,0,2,,,
41,L,127,157,0,27,30,4.25,2.60,13.0125,64.76,0.0,73.8,1898,1624,A,-2,0,,,
41,L,94,65,3,60,30,4.36,4.00,6.2835,48.56,106.0,9.5,1724,1439,A,4,0,,,
41,L,27,86,3,52,33,4.11,3.63,8.7809,46.80,68.1,16.7,1782,1532,A,2,0,,,
41,L,124,15,0,21,31,3.17,4.33,-2.9983,40.91,26.8,43.5,1596,1752,A,0,2,,,
41,L,137,84,3,43,20,3.90,5.00,-3.3439,57.80,119.3,0.0,1431,1592,A,3,0,,,
41,L,99,74,0,20,43,4.67,3.90,7.9215,53.24,0.0,123.3,1712,1618,A,-2,2,,,
41,L,10,70,3,37,29,3.30,5.50,-4.8109,62.21,79.8,19.9,1613,1799,A,0,0,,,
41,L,92,141,3,51,16,4.67,5.33,3.4852,44.57,133.5,8.9,1706,1577,A,3,0,,,
41,L,14,68,0,15,20,3.25,3.75,-2.6984,56.85,17.2,43.4,1679,1899,A,0,0,,,
41,L,131,38,0,30,54,3.25,3.75,-2.6890,50.95,14.0,102.4,1743,1738,A,0,4,,,
41,L,123,158,3,55,33,5.29,4.43,14.0667,64.76,72.3,33.8,2163,1716,A,2,1,,,
41,L,146,43,3,36,31,2.91,4.20,-7.5568,69.85,76.9,15.1,1692,1961,A,0,0,,,
41,L,81,153,3,44,33,4.86,3.44,6.4014,55.61,68.3,18.9,1887,1722,A,1,0,,,
41,L,19,35,0,22,29,3.33,4.20,-5.9803,66.76,18.2,38.7,1751,2008,A,0,0,,,
41,L,53,105,0,29,47,3.38,5.25,-0.6398,52.29,0.0,107.1,1751,1893,A,0,3,,,
41,L,101,96,0,42,54,4.50,4.55,2.2500,52.33,21.9,83.7,1689,1653,A,1,3,,,
41,L,135,114,3,67,20,4.15,3.60,5.0487,51.89,143.1,0.0,1739,1645,A,4,0,,,
41,L,150,72,0,26,27,3.43,4.75,-5.5018,69.80,42.4,31.3,1745,2038,A,0,0,,,
41,L,39,140,3,69,42,6.20,4.75,0.8512,49.53,126.1,0.0,1666,1667,A,7,1,,,
41,L,6,59,3,31,30,3.83,4.00,5.5450,52.76,35.6,39.4,1855,1677,A,-2,0,,,
41,L,50,16,0,24,26,4.00,4.00,6.2861,71.05,15.9,51.8,1756,1736,A,0,2,,,
41,L,115,134,0,38,46,4.57,3.82,3.9194,57.82,26.3,68.5,1758,1793,A,0,1,,,
41,L,40,3,3,48,45,5.33,3.73,14.3238,76.01,36.0,65.6,2356,1845,A,1,2,,,
41,L,97,29,0,19,21,3.40,4.75,-0.4771,62.19,23.1,35.8,1812,1964,A,0,2,,,
41,L,78,5,0,30,81,4.67,5.21,0.3548,63.43,8.2,147.6,1682,1768,A,0,6,,,
41,L,110,45,0,23,49,4.20,4.30,-1.8522,74.50,0.0,111.4,1750,1984,A,0,2,,,
41,L,125,58,3,44,33,4.57,2.90,9.7802,75.08,51.1,22.1,2101,1910,A,1,0,,,
41,L,148,26,3,51,25,3.64,3.83,5.4029,81.95,81.6,15.8,2044,1766,A,2,0,,,
41,L,60,144,0,43,66,4.38,4.62,3.6610,72.10,21.6,100.2,1937,1996,A,2,4,,,
41,L,57,120,0,15,29,3.33,3.86,4.8095,79.11,0.0,89.6,2023,2048,A,0,2,,,
41,L,89,100,3,46,22,4.50,4.00,6.3141,71.54,88.1,5.4,1973,1900,A,1,0,,,
41,L,130,160,0,25,44,2.88,3.27,-3.7907,88.11,0.0,101.6,1887,2147,A,0,2,,,
41,L,18,118,0,22,27,2.86,4.20,-3.7225,85.23,18.7,54.1,1803,2064,A,0,0,,,
41,L,21,30,3,38,20,3.67,4.50,1.4801,75.49,79.2,0.0,1952,1993,A,2,0,,,
41,L,79,126,0,22,45,4.50,4.56,2.0921,79.02,6.4,109.2,1997,2035,A,0,2,,,
41,L,104,7,3,56,15,3.77,5.00,1.2097,79.44,179.4,0.0,2060,2060,A,3,0,,,
41,L,107,116,0,48,50,5.00,4.18,4.4980,86.69,39.0,48.1,1911,1924,A,2,2,,,
41,L,142,80,0,9,46,3.00,5.00,-2.1279,89.81,0.0,198.2,1996,2008,A,0,2,,,
41,L,64,61,0,46,54,4.56,4.80,0.8388,88.78,35.9,91.7,1873,2009,A,2,3,,,
41,L,147,159,3,41,33,3.67,3.63,4.2019,83.23,40.8,29.1,1838,1908,A,1,0,,,
41,L,44,83,3,34,30,2.90,4.67,0.6689,87.82,66.3,10.5,1996,1973,A,0,0,,,
41,L,113,149,0,54,56,4.67,4.17,8.0290,98.97,10.9,94.9,2232,1976,A,2,4,,,
41,L,33,88,3,39,10,5.40,3.33,10.4128,94.48,139.3,7.3,2510,1957,A,1,0,,,
41,L,52,28,3,45,29,4.38,3.38,6.3564,93.97,48.2,22.0,2070,1983,A,3,0,,,
41,L,155,98,0,26,32,3.14,4.29,1.9164,93.37,11.6,65.9,1878,1901,A,0,0,,,
41,L,37,136,3,51,44,5.11,5.00,0.6521,97.76,76.1,9.1,1976,2025,A,2,1,,,
41,L,138,8,0,34,43,4.33,3.90,4.4810,101.49,0.0,80.6,2006,2009,A,0,1,,,
41,L,20,73,0,19,29,3.40,3.86,0.2751,100.27,10.8,70.7,2028,2081,A,0,0,,,
41,L,66,111,3,56,17,4.00,4.25,3.9403,96.61,149.1,1.2,2125,2096,A,3,0,,,
41,L,129,56,0,7,25,3.00,3.29,1.4168,101.50,0.0,128.9,2082,2212,A,0,1,,,
41,L,55,12,0,28,30,4.50,4.00,9.0821,108.92,10.9,66.1,2322,2109,A,-2,6,,,
41,L,49,132,3,41,21,4.00,3.80,3.1465,104.15,86.7,16.3,2208,2309,A,5,0,,,
41,L,151,156,3,47,26,5.00,2.75,8.1652,103.28,108.4,9.4,2332,2079,A,4,0,,,
41,L,69,91,3,67,12,4.21,4.00,2.2500,106.18,297.5,0.0,2371,2211,A,7,0,,,
