round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
12,S,86,121,3,83,15,5.25,3.75,8.2433,19.63,150.4,3.0,1602,1357,A,6,0,PA,Draw,1
12,S,98,85,3,38,24,4.80,2.75,21.4304,39.62,53.2,18.9,1854,1201,A,0,0,PA,Draw,1
12,S,115,65,0,30,46,5.00,3.00,15.6735,51.14,0.0,108.8,1673,1349,A,-2,4,PA,Draw,1
12,S,4,119,0,33,48,5.75,4.00,11.8096,31.21,0.0,104.6,1621,1384,A,-2,2,PA,Draw,1
12,S,101,133,3,78,27,5.36,3.57,9.2890,26.71,121.8,12.0,1639,1486,A,5,0,PA,Draw,1
12,S,10,31,0,29,31,5.25,4.83,6.4210,23.86,3.7,60.3,1550,1448,A,0,0,PA,Draw,1
12,S,117,62,3,45,25,4.29,3.29,13.0490,37.31,71.3,13.9,1706,1283,A,1,0,PA,Draw,1
12,S,74,139,3,65,28,4.91,4.33,5.2634,19.99,105.5,2.9,1570,1382,A,4,0,PA,Draw,1
12,S,135,71,3,43,36,5.00,4.00,9.2010,25.87,43.1,30.0,1687,1346,A,1,0,PA,Draw,1
12,S,47,152,0,41,49,3.63,4.50,7.5741,33.00,0.0,86.8,1635,1402,A,1,2,PA,Draw,1
12,S,5,112,3,60,41,5.71,3.70,15.4209,40.80,94.7,25.5,1742,1388,A,4,1,PA,Draw,1
12,S,64,2,3,45,33,4.83,3.22,11.8492,34.97,30.2,19.7,1674,1366,A,3,0,PA,Draw,1
12,S,75,154,3,28,21,3.80,3.80,6.8497,26.51,27.7,27.9,1643,1419,A,0,0,PA,Draw,1
12,S,16,36,3,45,25,5.33,3.29,9.0280,33.13,60.2,14.9,1741,1313,A,3,0,PA,Draw,1
12,S,122,51,0,13,77,4.50,4.31,4.4587,32.71,0.0,321.5,1534,1528,A,0,5,PA,Draw,1
12,S,141,114,0,45,48,3.73,5.86,-3.4583,40.10,32.8,54.7,1651,1592,A,1,3,PA,Draw,1
12,S,26,42,3,49,25,5.14,3.83,8.7562,42.93,97.9,15.9,1720,1463,A,1,0,PA,Draw,1
12,S,23,137,3,52,44,5.43,5.00,9.9277,39.10,37.6,25.8,1767,1393,A,2,1,PA,Draw,1
12,S,14,128,3,68,23,4.42,3.50,7.3564,44.05,122.2,4.6,1718,1483,A,5,0,PA,Draw,1
12,S,48,32,3,54,10,3.92,5.00,1.2108,36.73,194.4,0.0,1591,1591,A,3,0,PA,Draw,1
12,S,96,140,2,54,52,5.25,4.80,8.3017,43.18,25.6,41.6,1661,1548,A,2,2,PA,Draw,1
12,S,27,54,3,57,32,5.11,4.29,4.5359,40.52,87.1,3.5,1649,1500,A,2,0,PA,Draw,1
12,S,11,67,0,39,59,4.38,5.89,0.2641,43.38,8.9,100.7,1617,1650,A,0,4,PA,Draw,1
12,S,82,108,0,19,29,3.40,4.50,0.2114,39.52,12.2,68.3,1550,1608,A,0,0,PA,Draw,1
12,S,148,70,3,42,21,4.67,3.17,9.7597,60.46,63.3,12.1,1792,1561,A,1,0,PA,Draw,1
12,S,92,143,3,29,25,4.00,3.83,2.7118,47.99,57.9,13.2,1635,1583,A,0,0,PA,Draw,1
12,S,9,84,3,35,33,4.83,4.43,4.3091,46.33,46.3,28.9,1653,1439,A,0,0,PA,Draw,1
12,S,156,17,3,73,13,4.58,3.25,10.3217,69.15,181.8,1.2,1882,1570,A,6,0,PA,Draw,1
12,S,77,50,0,32,50,4.17,4.60,5.1510,61.36,11.3,95.9,1634,1549,A,0,5,PA,Draw,1
12,S,39,102,3,50,21,4.67,4.75,4.3320,57.96,111.9,1.0,1715,1399,A,3,0,PA,Draw,1
12,S,80,90,3,54,19,4.56,4.25,7.2054,75.15,119.2,2.4,1896,1422,A,3,0,PA,Draw,1
12,S,63,94,0,20,35,3.75,4.71,3.4438,68.93,0.0,99.7,1661,1670,A,0,0,PA,Draw,1
