round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
53,R,114,121,3,85,29,5.82,3.00,11.1251,19.39,116.3,12.8,1632,1227,A,6,0,,,
53,R,85,94,0,11,50,2.75,5.33,-15.6209,38.53,5.6,129.8,1082,1747,A,0,3,,,
53,R,119,125,0,37,57,3.00,5.29,-15.4916,47.64,20.7,54.5,1254,2106,A,0,2,,,
53,R,103,112,0,34,36,4.14,4.57,2.7436,15.52,37.2,32.9,1497,1374,A,0,0,,,
53,R,22,32,3,51,21,4.10,2.71,6.0491,17.58,108.2,10.8,1601,1401,A,3,0,,,
53,R,133,141,3,62,46,4.67,6.50,-1.3850,23.57,91.7,36.9,1429,1537,A,3,3,,,
53,R,131,139,0,50,54,4.22,5.00,5.7132,27.36,30.3,63.6,1726,1371,A,2,5,,,
53,R,120,128,0,30,39,5.00,3.50,9.7484,42.28,0.0,99.4,1906,1494,A,-2,0,,,
53,R,113,122,3,71,42,6.25,3.80,12.6932,49.80,76.5,27.4,2198,1466,A,5,1,,,
53,R,34,45,0,9,85,2.25,5.15,-10.2547,47.80,0.0,316.4,1482,1986,A,0,6,,,
53,R,71,78,0,31,34,4.14,4.50,-3.2845,30.90,23.6,54.2,1311,1650,A,0,0,,,
53,R,24,31,3,56,20,3.92,3.60,3.2599,19.64,121.2,0.0,1612,1452,A,3,0,,,
53,R,13,4,3,77,19,4.54,2.83,12.3757,38.62,152.8,3.8,1929,1523,A,6,0,,,
53,R,42,41,0,26,61,4.00,4.67,-10.7276,54.24,21.3,96.9,1445,1962,A,0,3,,,
53,R,7,1,3,50,40,4.63,3.60,8.8237,43.75,68.3,30.4,2009,1575,A,2,1,,,
53,R,56,62,3,29,10,4.75,2.50,12.4825,55.87,74.3,8.1,2154,1327,A,2,0,,,
53,R,152,156,0,20,35,2.25,5.75,-12.6298,59.48,9.2,79.4,1432,2154,A,0,0,,,
53,R,116,124,3,56,23,5.38,3.50,9.4790,45.98,115.0,14.3,1919,1550,A,3,0,,,
53,R,146,154,3,49,24,4.33,3.67,5.7838,38.15,80.2,9.3,1809,1427,A,1,0,,,
53,R,86,96,0,36,42,3.56,3.89,-1.2757,35.71,26.7,57.0,1497,1611,A,0,1,,,
53,R,23,29,3,35,29,4.71,4.80,-2.8534,47.97,61.6,21.1,1643,1937,A,0,0,,,
53,R,16,11,3,45,18,4.71,2.67,7.9355,36.80,103.5,7.4,1766,1557,A,2,0,,,
53,R,36,43,3,29,25,3.86,4.25,-6.3787,56.17,63.7,9.6,1362,1906,A,2,0,,,
53,R,33,48,3,57,25,5.71,3.83,10.7791,63.97,102.7,18.4,2507,1506,A,3,0,,,
53,R,20,25,3,27,24,4.25,3.14,11.4500,58.65,21.2,48.0,2096,1661,A,0,0,,,
53,R,149,157,3,68,8,4.08,4.00,11.2106,56.93,218.3,5.6,2024,1576,A,4,0,,,
53,R,8,2,3,33,27,5.75,2.78,16.0508,59.10,49.7,32.2,2092,1442,A,0,0,,,
53,R,65,74,3,43,32,3.90,4.50,-1.1184,39.21,66.6,12.6,1472,1644,A,1,0,,,
53,R,104,109,3,51,14,3.90,4.67,8.3382,51.04,129.8,3.3,2038,1684,A,3,0,,,
