round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
52,S,151,100,0,30,36,5.00,3.78,11.5181,91.85,0.0,102.4,2301,2011,A,-2,1,PA,Process,6
52,S,57,129,3,28,27,3.71,4.17,0.3767,87.13,49.3,31.5,2021,2101,A,2,0,PA,Process,6
52,S,37,160,3,38,27,3.78,4.40,-3.2981,95.32,101.3,14.5,1991,2139,A,1,0,PA,Process,6
52,S,55,123,0,26,65,6.00,4.54,6.1684,101.47,0.0,169.9,2250,2242,A,0,5,PA,Process,6
52,S,156,72,3,31,26,4.00,4.00,5.3682,96.01,51.1,23.4,2153,2055,A,0,0,PA,Process,6
52,S,40,49,3,42,18,4.43,3.20,6.6837,97.22,125.4,6.5,2377,2131,A,2,0,PA,Process,6
52,S,73,91,3,32,16,3.38,2.80,1.3231,100.53,100.8,0.0,2142,2178,A,1,0,PA,Process,6
52,S,148,33,1,37,41,4.13,4.38,-1.8653,106.67,24.2,46.7,2106,2506,A,0,4,PA,Process,6
