round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
42,S,66,105,0,43,49,4.83,3.46,11.5700,84.54,27.1,85.2,2095,1923,A,1,3,PA,Draw,5
42,S,120,100,1,25,35,4.00,3.88,3.1271,69.60,14.5,77.9,2018,1930,A,0,0,PA,Draw,5
42,S,56,29,0,14,44,2.67,4.00,8.7911,86.10,0.0,153.6,2161,2015,A,-2,2,PA,Draw,5
42,S,144,45,0,22,36,5.00,4.00,0.0501,78.00,19.8,71.9,1969,2011,A,0,0,PA,Draw,5
42,S,40,60,3,71,23,5.30,3.50,11.9712,81.47,127.4,13.8,2361,1932,A,6,0,PA,Draw,5
42,S,81,52,0,11,30,2.75,3.50,-6.9157,82.54,3.6,95.6,1870,2087,A,0,0,PA,Draw,5
42,S,79,127,0,15,30,3.50,4.67,0.7147,76.50,9.0,100.1,1965,1930,A,0,1,PA,Draw,5
42,S,30,83,0,36,42,3.56,4.11,-1.3978,81.17,24.4,55.6,1971,1995,A,0,1,PA,Draw,5
42,S,55,142,3,56,30,3.82,4.00,8.0814,86.96,79.6,12.2,2327,1991,A,2,0,PA,Draw,5
42,S,64,156,0,22,39,3.33,5.00,-4.9632,88.87,8.1,88.2,1858,2094,A,0,0,PA,Draw,5
42,S,57,118,0,24,30,3.67,4.50,-0.7304,89.07,6.3,58.4,2004,2083,A,0,0,PA,Draw,5
42,S,44,73,0,10,44,2.50,4.00,-1.6515,90.27,0.0,157.5,1965,2112,A,0,2,PA,Draw,5
42,S,33,28,0,40,42,4.50,3.17,8.5839,99.76,26.4,86.7,2480,2013,A,1,1,PA,Draw,5
42,S,72,61,3,50,40,4.78,5.43,2.6853,91.90,53.9,27.1,2052,1995,A,2,1,PA,Draw,5
42,S,12,151,0,24,58,3.14,4.18,-5.9481,97.97,11.6,112.0,2090,2351,A,0,3,PA,Draw,5
42,S,132,91,3,54,26,4.60,4.00,4.1886,100.34,127.8,13.6,2324,2196,A,3,0,PA,Draw,5
