round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
37,S,112,81,0,31,35,4.14,4.17,-6.2004,45.10,37.8,33.9,1420,1899,A,0,-2,PA,Process,4
37,S,108,25,3,53,39,4.56,2.92,7.7067,40.96,51.7,36.8,1722,1644,A,2,2,PA,Process,4
37,S,37,153,3,75,36,5.27,3.20,11.0139,60.75,118.0,21.2,1940,1711,A,6,1,PA,Process,4
37,S,19,129,0,40,54,4.00,4.78,-4.7344,65.17,33.4,73.7,1750,2094,A,2,2,PA,Process,4
37,S,16,158,0,40,41,4.29,3.36,5.9790,51.55,32.9,49.0,1728,1738,A,1,3,PA,Process,4
37,S,79,150,0,18,37,4.00,3.00,8.3406,64.48,0.0,115.3,2024,1773,A,-2,1,PA,Process,4
37,S,75,58,0,9,42,2.50,2.92,5.0375,63.39,0.0,190.1,1786,1916,A,-2,2,PA,Process,4
37,S,6,56,3,27,26,3.57,4.25,-6.9758,79.24,67.0,2.2,1839,2182,A,0,0,PA,Process,4
37,S,38,160,0,33,38,2.90,4.57,-4.4033,77.49,34.8,67.5,1737,2095,A,0,0,PA,Process,4
37,S,70,144,3,61,17,4.17,3.75,2.6657,66.20,155.6,0.0,1794,1966,A,4,0,PA,Process,4
37,S,80,100,0,39,40,5.80,3.60,7.6433,83.34,34.5,81.6,1954,1951,A,1,2,PA,Process,4
37,S,94,130,3,25,24,3.67,4.40,0.7675,65.08,43.6,19.3,1719,1897,A,0,0,PA,Process,4
37,S,29,7,0,37,38,4.71,4.25,2.2656,73.76,30.5,47.3,1976,2083,A,0,0,PA,Process,4
37,S,64,89,0,29,44,5.75,3.64,3.9652,75.45,18.0,85.6,1857,1947,A,0,1,PA,Process,4
37,S,91,60,3,55,32,3.82,4.29,9.0938,83.20,99.3,39.1,2229,1996,A,2,2,PA,Process,4
37,S,106,44,0,25,46,3.67,4.20,1.1121,75.03,9.4,108.4,1923,1977,A,0,3,PA,Process,4
37,S,126,72,0,29,45,4.50,4.33,-1.8101,84.10,4.8,80.7,1993,2077,A,0,1,PA,Process,4
37,S,35,104,3,40,27,3.88,3.13,4.7254,83.76,69.3,18.2,2018,2055,A,1,0,PA,Process,4
37,S,148,87,3,36,25,4.80,3.29,10.0383,84.83,68.1,17.8,2031,1883,A,0,0,PA,Process,4
37,S,73,149,3,37,35,4.33,2.82,6.7660,86.00,32.2,52.4,2058,1941,A,0,0,PA,Process,4
37,S,147,49,0,25,30,3.83,4.33,-2.4804,90.94,17.6,59.9,1826,2197,A,0,0,PA,Process,4
37,S,57,125,3,44,33,3.90,4.43,1.3744,88.75,77.3,28.8,2100,2093,A,1,1,PA,Process,4
37,S,151,83,3,53,21,5.14,3.80,13.4254,88.68,104.4,20.3,2324,1975,A,3,0,PA,Process,4
37,S,159,132,0,20,96,3.60,4.82,-4.1600,93.16,0.0,270.0,1965,2336,A,0,8,PA,Process,4
37,S,20,113,3,46,9,3.82,3.00,-0.3600,93.27,212.5,0.0,2033,2252,A,2,0,PA,Process,4
37,S,40,88,3,46,42,5.17,4.22,10.5004,93.02,60.7,48.2,2337,1969,A,1,2,PA,Process,4
37,S,8,66,0,29,34,4.50,4.57,0.4720,91.49,20.2,41.7,1981,2096,A,0,0,PA,Process,4
37,S,138,111,0,26,29,5.00,4.50,3.7822,96.23,26.2,49.4,2024,2117,A,0,0,PA,Process,4
37,S,95,55,0,41,60,4.11,5.33,-6.3485,97.30,15.0,87.4,1984,2306,A,1,3,PA,Process,4
37,S,52,123,0,26,46,4.50,3.50,5.9474,101.62,10.5,113.9,2067,2156,A,0,2,PA,Process,4
37,S,156,12,3,54,12,4.30,4.00,5.1394,96.85,169.7,0.0,2112,2083,A,3,0,PA,Process,4
37,S,69,33,0,32,35,3.11,4.67,-2.8750,101.69,36.8,63.5,2347,2503,A,0,1,PA,Process,4
