round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
31,L,63,121,3,77,22,5.89,2.86,16.1812,28.79,121.7,1.4,1689,1314,A,5,0,,,
31,L,143,119,3,53,23,4.71,3.50,14.8831,28.42,106.3,11.3,1570,1302,A,3,0,,,
31,L,85,36,0,16,64,3.50,6.11,-2.8700,16.13,0.0,138.6,1142,1333,A,0,4,,,
31,L,92,128,3,45,41,4.71,3.70,8.4815,29.57,27.9,53.7,1711,1444,A,1,2,,,
31,L,103,116,0,28,71,4.33,6.50,-10.6159,40.12,19.2,109.4,1578,1922,A,1,5,,,
31,L,133,140,3,53,50,5.22,5.86,-2.7350,29.63,50.9,21.7,1466,1632,A,2,2,,,
31,L,47,32,3,54,13,4.70,3.25,3.3848,18.52,139.3,0.0,1586,1464,A,4,0,,,
31,L,10,139,3,49,35,4.63,3.44,8.4864,23.49,67.9,26.2,1604,1370,A,1,0,,,
31,L,22,42,3,46,26,4.50,3.43,6.1471,20.38,50.9,13.8,1653,1382,A,1,0,,,
31,L,31,11,0,26,45,4.50,4.56,6.3454,29.78,0.0,103.4,1553,1505,A,0,2,,,
31,L,64,34,3,60,35,5.38,4.13,13.1978,44.64,97.3,27.9,1891,1500,A,3,1,,,
31,L,62,54,0,24,57,4.40,4.80,-3.3888,30.26,7.2,113.1,1281,1574,A,0,3,,,
31,L,145,122,3,62,23,4.64,4.20,5.1635,23.83,119.5,4.8,1656,1489,A,4,0,,,
31,L,154,152,3,48,39,4.88,4.38,4.6871,21.12,36.1,28.3,1462,1395,A,3,0,,,
31,L,99,1,3,50,22,3.55,3.33,7.3211,34.16,102.8,7.6,1738,1560,A,3,0,,,
31,L,112,84,3,60,41,4.50,6.40,-7.1483,52.76,100.4,17.1,1448,1620,A,6,1,,,
31,L,65,71,3,37,26,4.43,3.67,4.3970,21.69,60.6,20.9,1403,1360,A,0,0,,,
31,L,93,109,3,54,24,4.78,3.67,7.3146,41.82,102.2,4.7,1855,1637,A,3,0,,,
31,L,25,72,0,23,26,3.00,4.00,-7.7770,55.38,35.2,21.0,1650,2029,A,0,0,,,
