round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
26,L,121,57,0,3,51,3.00,6.00,-9.3196,36.79,0.0,339.7,1332,2021,A,0,3,,,
26,L,94,85,3,49,22,5.50,3.33,16.6543,35.60,91.7,11.4,1702,1185,A,1,0,,,
26,L,119,137,0,33,56,4.43,6.00,-3.5280,21.98,13.4,102.7,1320,1424,A,0,4,,,
26,L,128,31,0,20,39,4.50,4.13,-1.5167,22.81,0.0,65.4,1429,1553,A,0,2,,,
26,L,80,103,3,61,35,5.86,3.30,17.2580,50.99,50.4,39.4,1957,1636,A,5,1,,,
26,L,71,62,3,40,15,4.00,3.75,3.6156,16.10,105.2,6.4,1354,1244,A,2,0,,,
26,L,139,154,0,8,45,4.00,4.44,-0.8849,20.08,0.0,200.8,1352,1460,A,0,2,,,
26,L,34,155,0,15,24,3.00,5.33,-14.5067,49.75,22.7,35.4,1514,1895,A,0,0,,,
26,L,118,133,3,87,22,5.78,3.33,16.7710,48.33,139.2,5.4,1997,1458,A,6,0,,,
26,L,42,73,0,23,51,3.50,5.50,-13.7857,53.21,13.1,69.1,1395,1995,A,0,2,,,
26,L,152,10,0,31,39,4.14,4.71,-2.4746,27.03,24.1,50.1,1398,1600,A,0,0,,,
26,L,32,79,0,13,47,3.25,4.63,-5.7580,41.05,0.0,119.2,1530,2062,A,0,2,,,
26,L,1,127,3,45,42,3.42,4.71,-6.6202,55.22,68.8,30.3,1624,1854,A,4,1,,,
26,L,11,92,0,28,55,3.71,4.80,-1.2949,35.16,0.0,113.5,1496,1702,A,0,3,,,
26,L,122,8,0,24,41,3.14,5.40,-10.9141,57.01,13.0,62.3,1510,2054,A,0,1,,,
26,L,2,112,3,59,28,4.73,4.33,3.1117,25.74,113.2,9.7,1431,1418,A,3,0,,,
26,L,109,40,0,46,49,3.23,5.17,-16.7989,59.73,60.4,24.7,1664,2322,A,1,1,,,
26,L,24,115,1,33,38,3.44,3.78,0.3004,40.78,25.0,40.2,1586,1687,A,0,0,,,
26,L,74,5,3,30,29,3.11,4.75,-10.6869,59.38,61.7,0.0,1551,1771,A,2,-2,,,
26,L,54,65,3,57,41,5.00,4.63,5.6564,36.34,67.5,11.2,1594,1408,A,2,1,,,
26,L,36,90,0,23,40,3.00,4.29,-6.3865,49.60,21.0,64.7,1322,1527,A,0,1,,,
26,L,114,96,0,8,41,4.00,4.00,-1.2591,39.43,0.0,172.1,1525,1662,A,0,2,,,
26,L,136,145,3,33,31,5.25,3.63,13.4126,60.18,44.6,37.2,2026,1618,A,0,0,,,
26,L,21,47,3,32,25,5.50,3.83,11.3075,54.00,47.4,19.0,2045,1591,A,0,0,,,
26,L,4,91,0,14,56,3.50,3.90,-10.5141,65.01,4.1,119.8,1599,2167,A,0,3,,,
