round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
14,L,65,85,0,29,39,4.75,4.38,7.9223,17.98,5.7,63.4,1314,1224,A,0,2,,,
14,L,133,18,0,30,38,3.50,6.50,-7.7942,30.33,16.5,64.0,1455,1777,A,0,0,,,
14,L,17,139,3,56,22,5.25,4.00,9.6238,24.63,105.9,9.2,1609,1353,A,3,0,,,
14,L,62,90,0,9,49,3.00,4.88,-6.4403,29.33,0.0,139.0,1253,1442,A,0,2,,,
14,L,41,31,3,33,23,5.75,3.00,12.3083,39.07,59.1,22.9,1876,1429,A,0,0,,,
14,L,84,119,3,46,32,5.14,4.29,5.9241,26.10,51.7,22.8,1425,1365,A,1,0,,,
14,L,71,36,3,26,25,4.40,4.60,1.8581,19.28,25.0,26.1,1351,1301,A,-2,0,,,
14,L,116,131,3,55,38,6.17,3.40,16.1140,51.91,71.0,17.0,1989,1732,A,2,0,,,
14,L,141,11,3,38,35,4.25,4.83,-1.5567,25.82,31.5,27.8,1614,1572,A,2,0,,,
14,L,112,143,0,31,40,3.38,5.33,-3.8922,30.87,29.3,56.7,1399,1580,A,1,1,,,
14,L,103,142,0,31,64,3.63,5.33,-9.9999,49.01,11.1,105.5,1718,2078,A,0,4,,,
14,L,2,102,3,28,21,3.71,3.60,-0.8101,34.29,51.1,16.6,1409,1377,A,2,0,,,
14,L,122,138,0,46,68,3.82,5.67,-8.8925,50.20,30.9,78.2,1527,1913,A,2,3,,,
14,L,51,10,3,51,24,4.10,3.67,6.4063,28.85,85.2,11.2,1529,1509,A,2,0,,,
14,L,70,152,3,49,29,5.43,3.86,7.3279,35.07,90.8,11.7,1618,1427,A,1,0,,,
14,L,42,20,0,21,54,3.80,5.71,-7.6850,47.80,15.4,110.7,1455,1861,A,0,3,,,
14,L,108,137,3,47,30,4.75,4.67,4.8606,31.32,77.9,13.9,1635,1376,A,1,0,,,
14,L,9,154,3,40,25,4.14,2.88,6.6428,34.83,69.5,7.8,1688,1430,A,2,0,,,
14,L,22,57,3,42,26,3.45,4.50,-6.2836,55.16,103.3,0.0,1779,2059,A,2,0,,,
14,L,8,76,3,66,25,4.70,2.30,13.2214,56.59,119.3,4.4,1994,1632,A,5,0,,,
14,L,48,128,3,32,17,4.33,3.75,3.8928,30.14,100.6,4.8,1574,1490,A,1,0,,,
14,L,98,34,3,57,33,5.00,3.88,13.4254,49.79,47.2,27.8,1866,1637,A,2,1,,,
14,L,82,127,3,23,0,2.33,0.00,-9.6006,63.23,910.3,0.0,1568,1848,A,6,-7,,,
14,L,3,109,0,22,36,4.67,2.91,8.6612,56.15,0.0,107.0,2023,1693,A,-2,1,,,
14,L,4,69,0,20,34,2.25,4.40,-12.7664,61.66,26.2,63.4,1620,2434,A,0,0,,,
14,L,61,124,0,25,28,5.67,4.33,11.2273,67.81,9.4,71.2,1889,1687,A,-2,0,,,
14,L,126,32,3,58,22,4.67,2.86,9.7221,55.92,107.8,12.4,2020,1587,A,3,0,,,
14,L,30,47,3,62,29,5.22,3.86,9.0267,53.69,114.5,9.4,2093,1632,A,4,0,,,
14,L,74,78,0,28,34,4.33,4.67,-1.7110,46.68,17.1,49.4,1552,1748,A,0,0,,,
14,L,157,1,0,39,47,4.13,3.91,4.1505,41.52,3.9,70.6,1613,1707,A,0,1,,,
14,L,140,148,0,14,47,4.67,4.75,-4.5858,61.16,7.2,130.1,1559,1814,A,0,2,,,
14,L,134,24,3,40,7,3.88,3.50,5.0591,44.13,149.8,0.0,1881,1713,A,2,0,,,
14,L,96,135,3,55,26,3.83,6.00,3.3300,46.79,109.4,15.5,1714,1654,A,3,0,,,
14,L,54,94,0,16,30,2.80,4.17,-0.9541,55.59,0.0,101.5,1525,1705,A,0,1,,,
14,L,28,19,3,46,43,4.71,3.90,9.2100,63.26,40.4,30.7,1980,1698,A,1,1,,,
14,L,86,50,0,9,57,4.50,3.92,-0.0591,56.17,0.0,7753.9,1544,1616,A,0,3,,,
14,L,75,92,3,29,27,4.00,3.57,2.9676,42.66,39.0,22.2,1675,1643,A,0,0,,,
14,L,159,6,0,17,44,3.67,3.33,6.4199,64.66,0.0,129.6,1899,1819,A,0,2,,,
14,L,16,27,0,32,46,4.50,4.20,2.9890,53.66,32.4,103.5,1719,1651,A,2,2,,,
14,L,158,129,0,29,51,3.86,5.57,-7.5539,71.09,12.2,97.8,1781,2205,A,0,2,,,
14,L,105,97,3,27,16,3.83,3.50,2.2919,49.67,81.5,7.2,1848,1778,A,0,0,,,
14,L,114,101,0,17,25,3.25,3.83,2.2043,54.01,6.4,74.3,1591,1637,A,0,0,,,
14,L,25,66,0,37,61,3.89,5.60,-1.4936,65.54,0.0,106.3,1795,2041,A,0,5,,,
14,L,153,150,3,44,36,4.88,5.67,0.6593,60.19,60.8,24.6,1777,1799,A,3,1,,,
14,L,23,21,0,25,47,4.60,6.50,-4.4133,66.20,16.3,110.5,1756,2062,A,0,2,,,
14,L,136,77,3,76,40,5.60,4.50,10.1651,75.79,109.3,20.5,2023,1629,A,6,1,,,
14,L,15,64,0,27,53,3.43,3.92,0.5966,60.86,13.9,117.4,1752,1716,A,0,4,,,
14,L,12,130,3,51,27,3.25,3.57,6.0548,69.80,94.4,7.4,2005,1851,A,2,0,,,
14,L,118,67,0,28,30,4.50,3.11,8.0943,82.60,5.8,61.4,1926,1683,A,0,0,,,
14,L,68,146,3,37,28,5.20,3.25,8.8944,65.48,43.7,17.6,1943,1758,A,0,0,,,
14,L,59,147,3,36,32,3.20,5.40,-3.2172,77.92,61.0,31.5,1773,1860,A,2,0,,,
14,L,145,37,0,21,30,3.80,4.60,-4.7180,76.08,23.8,56.2,1739,1927,A,0,0,,,
14,L,26,39,3,46,29,5.00,3.86,1.8840,65.60,101.0,0.0,1717,1708,A,2,0,,,
14,L,83,89,3,25,23,3.80,4.20,3.5790,74.47,27.8,35.4,2017,1867,A,0,0,,,
14,L,38,107,0,18,37,3.20,4.13,-0.0696,76.04,0.0,348.6,1739,1847,A,0,1,,,
14,L,13,79,3,41,20,3.67,3.00,3.7295,65.64,106.1,9.3,1950,2070,A,2,0,,,
14,L,73,63,3,54,16,4.56,4.00,6.9649,79.21,126.1,9.6,2012,1655,A,3,0,,,
14,L,29,53,0,33,39,5.75,4.11,8.3189,89.07,10.2,86.2,2068,1896,A,0,0,,,
14,L,95,115,3,69,19,4.38,4.75,5.7627,77.36,145.5,9.6,2047,1667,A,4,0,,,
14,L,117,40,0,33,39,2.64,4.17,-9.7783,84.91,25.2,44.0,1704,2290,A,0,0,,,
14,L,5,99,3,37,19,3.63,4.25,4.1332,71.58,76.6,12.5,1775,1785,A,0,0,,,
14,L,43,14,3,53,34,4.50,5.00,4.0822,71.71,103.7,14.6,1988,1712,A,4,0,,,
14,L,111,87,3,36,7,4.14,3.50,4.8703,74.83,150.9,0.0,2135,1835,A,1,0,,,
14,L,91,93,3,33,15,4.40,3.75,8.5469,83.12,100.4,10.1,2106,1867,A,1,0,,,
14,L,149,60,3,67,20,5.09,5.00,5.1672,86.91,149.5,13.0,2004,1940,A,4,1,,,
14,L,100,44,3,35,23,5.00,4.20,1.0727,79.09,70.3,0.0,2018,1931,A,0,0,,,
14,L,46,155,3,31,29,3.38,4.17,-0.0327,88.81,49.9,24.0,1851,1860,A,0,0,,,
14,L,7,49,0,24,65,3.67,4.38,-2.4195,93.86,8.9,135.9,2045,2096,A,1,4,,,
14,L,156,110,0,24,49,4.25,4.09,5.2197,96.94,0.0,119.8,1852,1909,A,0,3,,,
14,L,80,106,0,29,32,3.83,4.29,3.9427,93.16,8.4,66.4,1882,1989,A,0,1,,,
14,L,58,33,0,19,56,2.43,5.13,-10.7458,93.34,3.9,115.2,2088,2550,A,0,3,,,
14,L,35,52,3,29,19,2.89,3.40,0.6532,92.77,101.9,0.0,1991,1891,A,1,0,,,
14,L,144,113,0,41,61,4.11,5.00,-2.4835,100.09,20.9,89.1,2178,2428,A,1,3,,,
14,L,72,81,3,29,27,3.67,3.57,5.2762,95.89,26.7,31.2,2074,2000,A,-2,0,,,
14,L,160,55,0,28,53,3.71,5.00,-1.7726,102.20,0.0,116.9,2028,2253,A,0,4,,,
14,L,45,151,0,39,60,3.18,5.00,-0.9435,106.01,0.0,109.9,2066,2027,A,1,9,,,
14,L,88,125,0,34,35,3.75,3.67,0.4742,103.29,42.7,42.8,2019,2193,A,0,3,,,
14,L,132,104,3,45,44,4.38,4.00,5.6922,104.18,34.1,54.8,2331,2208,A,3,2,,,
14,L,56,123,0,21,36,4.00,4.00,3.2094,106.96,0.0,87.7,2252,2167,A,0,3,,,
14,L,120,121,3,59,35,5.57,2.75,16.9554,46.53,89.4,17.5,2247,1356,A,3,0,,,
