round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
35,L,121,6,0,27,62,3.13,5.63,-8.5952,29.64,19.8,107.1,1286,1814,A,1,5,,,
35,L,119,85,3,43,23,4.86,4.20,4.6658,11.16,92.4,6.0,1310,1120,A,1,0,,,
35,L,23,103,0,48,56,5.50,4.17,9.0008,28.16,12.8,96.3,1647,1587,A,1,3,,,
35,L,32,107,0,23,33,3.00,4.20,-11.5343,45.66,21.0,46.9,1448,1924,A,0,0,,,
35,L,139,135,0,20,62,4.50,5.44,-6.6480,34.51,9.1,126.4,1350,1715,A,0,4,,,
35,L,42,35,0,20,36,2.57,4.80,-13.8128,48.99,10.2,61.9,1379,1997,A,0,0,,,
35,L,98,133,3,66,34,5.63,3.56,12.5911,46.21,100.8,19.4,1876,1461,A,4,0,,,
35,L,34,18,0,18,41,2.29,3.86,-10.4622,42.54,19.1,102.2,1490,1843,A,0,2,,,
35,L,128,127,0,26,44,3.00,4.83,-11.2706,48.20,20.7,63.7,1462,1901,A,0,1,,,
35,L,1,31,3,34,18,3.75,4.00,0.2236,26.03,129.7,0.0,1573,1525,A,1,0,,,
35,L,122,45,0,31,78,3.63,5.64,-9.9246,48.09,17.1,121.4,1481,1974,A,0,6,,,
35,L,2,62,0,43,48,3.78,4.40,4.5591,26.18,17.5,79.1,1402,1325,A,1,7,,,
35,L,71,112,3,28,14,4.60,4.00,3.0818,21.96,62.7,5.1,1366,1424,A,0,0,,,
35,L,11,99,0,24,43,3.14,4.71,-5.7493,38.82,7.2,80.9,1510,1770,A,0,1,,,
35,L,109,14,3,29,22,3.86,5.33,-3.9706,36.40,69.2,8.1,1644,1695,A,0,0,,,
35,L,152,50,0,39,45,2.92,4.57,-8.9940,47.55,26.9,28.9,1414,1735,A,0,3,,,
35,L,4,105,3,35,28,4.13,4.60,-3.3676,40.34,74.7,14.5,1591,1837,A,0,0,,,
35,L,24,37,0,38,64,4.00,5.00,-8.3840,54.98,29.4,73.1,1570,1945,A,1,3,,,
35,L,48,82,3,37,36,3.30,3.88,-0.8178,35.51,31.9,37.5,1530,1523,A,0,0,,,
35,L,106,47,0,39,52,5.40,3.43,11.5211,60.86,10.0,101.3,1954,1616,A,-2,3,,,
35,L,100,25,3,35,30,5.00,4.00,8.2898,41.44,30.8,31.8,1926,1658,A,0,0,,,
35,L,84,65,3,83,15,6.18,3.75,8.8475,45.89,223.3,5.7,1623,1401,A,8,0,,,
35,L,36,143,0,30,60,3.25,4.80,-5.7057,43.77,20.5,107.3,1338,1594,A,1,5,,,
35,L,59,22,3,34,21,3.86,2.71,4.8811,34.57,62.8,10.3,1671,1633,A,0,0,,,
35,L,94,137,0,53,56,5.13,3.85,7.6513,56.71,42.1,81.1,1699,1398,A,3,6,,,
35,L,157,41,0,22,52,2.86,4.75,-10.0933,60.88,8.4,103.5,1589,1981,A,0,4,,,
35,L,124,39,3,31,20,3.38,4.25,-1.1048,43.80,71.9,10.4,1616,1649,A,0,0,,,
35,L,77,115,0,33,45,4.43,4.75,-3.1800,43.59,16.0,51.6,1537,1758,A,0,1,,,
35,L,16,51,0,30,32,5.50,3.75,6.1781,49.05,36.2,47.5,1747,1545,A,0,2,,,
35,L,101,154,3,45,27,5.43,4.17,3.4602,39.30,70.9,5.8,1682,1489,A,1,0,,,
35,L,27,10,3,35,29,4.17,4.50,6.0613,46.31,27.6,39.8,1752,1579,A,0,0,,,
35,L,70,86,3,55,29,5.71,3.00,11.4727,50.01,105.9,10.4,1739,1562,A,3,0,,,
35,L,134,145,0,15,27,5.50,3.57,7.4328,51.98,7.6,101.6,1781,1680,A,-2,1,,,
35,L,74,75,0,26,49,4.00,4.56,-4.2884,52.51,14.1,81.9,1583,1818,A,0,1,,,
35,L,110,76,3,56,38,5.00,3.78,4.7361,47.73,53.1,17.3,1774,1672,A,2,0,,,
35,L,141,5,3,51,49,4.27,6.00,-3.2560,56.89,67.4,38.1,1598,1739,A,2,2,,,
35,L,114,9,3,55,11,3.50,3.33,-0.6276,51.81,221.8,0.0,1668,1671,A,3,0,,,
35,L,158,149,3,32,15,3.50,4.50,-6.4129,69.02,113.2,0.0,1719,1968,A,1,-2,,,
35,L,17,96,0,27,46,4.17,5.25,-0.1453,45.12,0.0,163.9,1506,1643,A,0,2,,,
35,L,140,15,3,69,36,5.55,5.33,1.6704,46.60,115.5,0.0,1683,1720,A,4,0,,,
35,L,12,153,3,69,30,5.20,4.00,11.2549,65.97,116.9,10.9,2069,1722,A,4,0,,,
35,L,19,63,0,40,43,4.00,4.22,-0.8730,57.35,46.5,51.0,1759,1734,A,2,4,,,
35,L,54,108,0,8,74,2.67,4.79,-0.7610,50.01,0.0,902.8,1517,1708,A,0,5,,,
35,L,146,40,0,24,42,2.75,5.60,-13.8044,72.02,18.1,45.0,1679,2331,A,0,3,,,
35,L,131,79,0,26,32,4.80,4.50,-0.7390,61.95,5.7,50.4,1798,2060,A,0,0,,,
35,L,53,93,3,22,19,3.33,4.25,-0.0523,57.83,34.4,23.6,1809,1801,A,2,0,,,
35,L,130,150,3,35,31,4.50,4.14,4.4702,56.73,56.3,28.8,1925,1729,A,0,0,,,
35,L,78,92,2,52,33,4.60,4.43,2.4223,55.80,71.8,20.4,1709,1673,A,4,0,,,
35,L,69,97,3,64,44,4.60,3.64,12.1707,77.71,75.9,32.3,2418,1795,A,3,2,,,
35,L,102,90,0,37,69,4.13,4.77,-0.8435,70.59,0.0,127.8,1482,1638,A,0,4,,,
35,L,58,132,0,45,51,2.93,4.75,-9.0809,79.59,49.7,46.7,1918,2315,A,2,3,,,
35,L,3,43,0,29,33,4.50,3.63,-0.2234,73.69,0.0,71.3,1899,1990,A,0,0,,,
35,L,61,26,3,40,26,4.86,4.00,3.7838,72.18,76.9,19.3,1942,1767,A,1,0,,,
35,L,126,38,3,40,24,4.71,3.14,4.8982,70.54,99.1,18.1,2045,1743,A,2,0,,,
35,L,144,56,0,30,37,3.25,5.80,-6.1566,81.37,38.6,46.3,2005,2201,A,0,2,,,
35,L,67,155,3,50,37,4.18,4.71,-1.6812,83.94,71.9,25.6,1759,1889,A,4,0,,,
35,L,116,13,0,26,42,4.00,4.22,3.5784,76.88,0.0,109.5,1888,1918,A,0,2,,,
35,L,129,60,0,27,48,4.75,5.11,6.3232,87.06,0.0,119.2,2108,1997,A,0,3,,,
35,L,120,159,0,23,39,3.33,3.89,0.7619,81.29,13.6,104.6,2023,1985,A,0,1,,,
