round,game_type,team_a,team_b,result_a,pf_a,pa_a,raw_goal_a,raw_goal_b,spread_a,interest,dscr_a,dscr_b,elo_a_after,elo_b_after,home,ex_a,ex_b,cup_name,cup_bracket,cup_round
36,S,100,157,3,66,34,5.33,4.00,12.2244,41.88,94.3,12.5,1931,1584,A,3,0,PA,Draw,4
36,S,142,114,3,41,40,5.80,4.50,9.8217,55.99,32.1,42.1,2038,1665,A,-1,1,PA,Draw,4
36,S,66,131,3,30,6,5.00,3.00,13.9495,60.10,136.0,4.2,2079,1792,A,1,0,PA,Draw,4
36,S,132,101,3,67,55,5.11,3.92,15.1173,68.61,64.5,31.2,2316,1681,A,3,2,PA,Draw,4
36,S,58,105,0,30,49,4.00,4.09,3.9531,55.70,8.6,104.4,1884,1871,A,0,2,PA,Draw,4
36,S,3,118,0,30,66,4.67,6.11,-5.1864,73.10,12.3,110.8,1873,2076,A,0,5,PA,Draw,4
36,S,144,37,3,48,27,4.00,4.80,-1.3053,75.39,107.2,14.5,2021,1929,A,6,0,PA,Draw,4
36,S,120,67,3,30,25,4.50,4.60,0.5950,64.84,56.4,14.4,2028,1754,A,2,0,PA,Draw,4
36,S,29,126,3,41,16,4.38,5.33,1.7117,70.74,114.1,0.0,1991,2018,A,2,0,PA,Draw,4
36,S,79,130,3,41,37,4.13,4.13,4.1679,68.41,40.4,47.8,2068,1917,A,1,0,PA,Draw,4
36,S,33,13,3,60,23,4.78,3.50,10.7986,80.34,120.3,8.6,2489,1916,A,4,0,PA,Draw,4
36,S,81,149,3,36,29,4.71,4.50,1.4609,73.93,56.2,22.8,1895,1949,A,2,0,PA,Draw,4
36,S,60,117,3,29,27,3.29,4.17,3.7098,69.50,30.8,24.1,2004,1855,A,0,0,PA,Draw,4
36,S,30,43,3,40,37,4.50,4.13,0.2367,77.34,52.3,0.0,2008,1978,A,1,0,PA,Draw,4
36,S,123,44,0,28,33,4.75,3.63,7.1517,85.54,21.3,68.9,2128,1946,A,0,2,PA,Draw,4
36,S,88,64,0,39,43,4.83,4.88,6.0831,85.59,6.1,81.0,1972,1881,A,0,2,PA,Draw,4
36,S,21,91,0,21,59,3.80,4.90,-3.8455,87.77,0.0,133.5,1944,2221,A,0,3,PA,Draw,4
36,S,7,83,0,25,26,5.67,4.80,6.2426,85.43,21.6,48.4,2068,1980,A,0,0,PA,Draw,4
36,S,104,73,0,24,41,3.67,4.11,0.1866,89.53,14.8,102.6,2076,2050,A,0,2,PA,Draw,4
36,S,40,87,3,55,35,4.88,4.13,11.8592,86.32,101.3,43.2,2334,1892,A,3,2,PA,Draw,4
36,S,57,46,3,36,15,5.00,3.25,3.5358,82.73,107.3,0.0,2083,1879,A,1,0,PA,Draw,4
36,S,95,127,0,24,29,3.60,3.86,3.6134,90.44,23.4,62.6,1995,1927,A,0,0,PA,Draw,4
36,S,113,61,0,37,38,4.17,3.78,9.9353,95.99,0.0,74.8,2305,1970,A,0,0,PA,Draw,4
36,S,28,160,3,49,42,4.09,3.80,-0.1525,93.09,58.5,33.0,1994,2089,A,3,1,PA,Draw,4
36,S,45,155,3,51,15,4.30,3.25,4.3851,87.61,142.9,5.2,1992,1871,A,3,0,PA,Draw,4
36,S,111,156,0,31,35,3.22,4.29,-2.8624,96.93,47.9,50.5,2100,2081,A,2,0,PA,Draw,4
36,S,55,8,3,92,21,5.29,3.80,9.7006,95.16,208.2,1.4,2295,1998,A,7,0,PA,Draw,4
36,S,72,49,3,44,31,3.64,4.17,-4.0420,100.54,89.2,13.2,2052,2191,A,1,0,PA,Draw,4
36,S,129,151,0,26,63,4.80,5.00,-6.5898,97.35,23.3,116.9,2085,2319,A,1,4,PA,Draw,4
36,S,125,12,0,19,53,3.75,4.90,2.1289,95.77,0.0,137.5,2110,2114,A,0,3,PA,Draw,4
36,S,56,41,3,36,27,3.75,3.57,3.9358,96.10,82.1,17.6,2207,1975,A,0,0,PA,Draw,4
36,S,69,52,0,12,45,4.00,4.10,4.2865,103.32,0.0,173.9,2361,2095,A,0,3,PA,Draw,4
